"Soru","Cevap"
"algoritma nedir?","algoritma, belirli bir problemi çözmek veya belirli bir görevi yerine getirmek için kullanılan, adım adım ilerleyen bir talimatlar dizisidir."
"algoritma temel özellikleri","Belirginlik: Bir algoritmanın her adımı açık ve belirgin olmalıdır.; Sonluluk: Bir algoritmanın adımları sınırlı olmalııdr.; Etkinlik: Algoritmaların her adımı gerçekleştirilebilir ve etkili olmalıdır."
"algoritmanın önemi nedir?","algoritmalar, yazılım geliştirme sürecinde problemleri çözmek için sistematik bir yaklaşım sağlar. doğru algoritmalar, yazılımın performansını ve verimliliğini artırır."
"belirginlik nedir?","algoritmanın her adımının açık ve net bir şekilde tanımlanmasıdır. her adımın ne yapacağı ve nasıl yapılacağı belirgin olmalıdır."
"bir algoritma örneği verin.","bir sıralama algoritması örneği olarak 'bubble sort' algoritması verilebilir. bu algoritma, bir dizi sayıyı sıralamak için ardışık karşılaştırmalar yapar."
"bubble sort algoritması nedir?","bubble sort, ardışık elemanları karşılaştırarak ve gerektiğinde takas yaparak bir diziyi sıralayan basit bir sıralama algoritmasıdır."
"etkinlik nedir?","algoritmanın belirli bir problemi çözme süresinin mümkün olan en kısa sürede tamamlanmasıdır. algoritmanın gereksiz adımlar içermemesi gerekir."
"iki sayıyı bölme işlemi kullanmadan bölen algoritma nasıldır?","bu algoritma, bölünen sayıdan böleni tekrar tekrar çıkararak kaç kez çıkarıldığını sayar; bu sayı bölüm değeridir."
"iki sayıyı çarpma işlemi kullanmadan çarpan algoritma nasıldır?","bu algoritma, ikinci çarpan kadar birinci çarpanı toplar. örneğin, 4 ile 5'i çarpmak için 4 sayısı 5 kez toplanır."
"sonluluk nedir?","algoritmanın belirli bir sayıda adımda sonlanmasıdır. algoritma sonsuz döngüye girmemelidir."
"ci/cd nedir?","ci/cd, yazılımın sürekli entegre edilmesi (continuous integration) ve sürekli dağıtımını (continuous delivery) ifade eder."
"github actions nedir?","GitHub platformuna entegre edilmiş bir sürekli entegrasyon (CI) ve sürekli dağıtım (CD) hizmetidir. Yazılım geliştirme süreçlerinizi otomatikleştiren özelleştirilebilir iş akışları (workflows) oluşturmanızı sağlar. Bu iş akışları, kodunuzu derleme, test etme, dağıtma gibi görevleri otomatik olarak gerçekleştirebilir. Bir kod gönderimi veya çekme isteği gibi belirli GitHub olayları tetiklendiğinde çalışacak şekilde yapılandırılır."
"jenkins ne işe yarar?","jenkins, yazılım geliştirme süreçlerini otomatikleştirmek için kullanılan açık kaynaklı bir ci/cd aracıdır."
"markdown nedir?","markdown, düz metin içinde biçimlendirme yapmaya olanak tanıyan hafif bir işaretleme dilidir."
"readme dosyası ne işe yarar?","readme, projeyi tanıtan ve nasıl kullanılacağını anlatan dökümantasyon dosyasıdır."
"sanal ortam (virtual environment) nedir?","sanal ortam, projeye özel bağımlılıkları izole bir şekilde tutan python ortamıdır."
"terminal nedir?","terminal, komut satırı aracılığıyla işletim sistemiyle etkileşim kurmayı sağlayan bir araçtır."
"venv nasıl oluşturulur?","`python -m venv env_adi` komutu ile bir sanal ortam oluşturulur."
"visual studio code nedir?","vs code, microsoft tarafından geliştirilen hafif ve özelleştirilebilir bir kaynak kod editörüdür."
"vs code uzantıları ne işe yarar?","vs code uzantıları, editöre ekstra özellikler kazandırarak yazılım geliştirmeyi kolaylaştırır."
"black nedir?","black, python kodlarını otomatik olarak biçimlendiren bir araçtır."
"linting nedir?","linting, kodunuzu analiz ederek yazım hatalarını ve stil sorunlarını tespit eden bir işlemdir."
"prettier nedir?","prettier, kodun otomatik olarak biçimlendirilmesini sağlayan bir kod formatlama aracıdır."
"pip install komutu ne işe yarar?","pip install komutu, belirtilen paketi python ortamınıza yükler."
"python'da pip ne işe yarar?","pip, python paketlerini yüklemek ve yönetmek için kullanılan bir paket yöneticisidir."
"requirements.txt dosyası ne için kullanılır?","python projelerinde ihtiyaç duyulan paketlerin listelendiği dosyadır ve `pip install -r` ile yüklenir."
"gereksinim analizi aşamasının amacı nedir?","yazılımın ne yapması gerektiğini belirlemek, kullanıcı ve sistem gereksinimlerini dokümante etmektir."
"planlama aşamasında ne yapılır?","projenin neden yapılacağı belirlenir, hedef kitle analiz edilir, risk analizi yapılır ve proje planı hazırlanır."
"sdlc nedir?","SDLC (Software Development Life Cycle), bir yazılımın planlanmasından bakımına kadar geçen süreci tanımlayan sistematik bir yaklaşımdır. Bir yazılım projesinin fikir aşamasından başlayıp, geliştirme, test etme, dağıtım ve son olarak bakım aşamalarına kadar uzanan tüm süreçleri kapsayan bir yol haritasıdır."
"sdlc'nin amaçları nelerdir?","sdlc'nin temel amaçları, yazılım projelerine standart bir süreç sunmak, hataları azaltmak, kullanıcı gereksinimlerini karşılamak ve projeyi zamanında tamamlamaktır."
"tasarım aşamasında neler yapılır?","sistem mimarisi belirlenir, ui/ux tasarımı yapılır, veri tabanı yapısı ve yazılım bileşenleri planlanır."
"çevik modelin avantajları nelerdir?","agile modelde kullanıcı geri bildirimi alınır, değişikliklere hızlı adapte olunur ve erken çalışan yazılım teslimi mümkündür."
"şelale modeli nedir?","Her aşamanın bir öncekinin tamamlanmasını beklediği, doğrusal ve sıralı bir modeldir. Geri dönüşler zordur ve gereksinimlerin baştan çok net olduğu projeler için uygundur."
"branch nedir?","branch, projede bağımsız olarak geliştirme yapmayı sağlayan git yapısıdır."
"git commit nedir?","commit, git deposunda yapılan değişiklikleri kalıcı hale getirir ve geçmişteki değişikliklerin kaydını tutar."
"git nedir?","Git, yazılım geliştirme projelerinde kod değişikliklerini takip etmek ve yönetmek için kullanılan popüler bir dağıtık versiyon kontrol sistemidir (DVCS). Birden fazla geliştiricinin aynı proje üzerinde eş zamanlı çalışmasını sağlar. Dallanma ve birleştirme özellikleri sayesinde yeni özellikler geliştirilirken veya hatalar düzeltilirken ana kod tabanının stabil kalmasına yardımcı olur."
"git pull komutu ne yapar?","`git pull`, uzak depodaki değişiklikleri yerel depoya indirip birleştirir."
"git push komutu ne yapar?","`git push`, yerel değişiklikleri uzak git deposuna gönderir."
"git branching (dallanma) ne işe yarar?","git branching, geliştiricilerin projede bağımsız özellikler veya düzeltmeler üzerinde paralel olarak çalışabilmesini sağlar."
"git ve github arasındaki fark nedir?","git bir versiyon kontrol sistemidir, github ise git depolarının çevrim içi olarak barındırılmasını ve paylaşılmasını sağlayan bir platformdur."
"github ile git arasındaki fark nedir?","git, versiyon kontrol sistemidir; github ise git ile yönetilen projeleri barındırmak için kullanılan çevrim içi bir platformdur."
"github nedir?","GitHub, Git versiyon kontrol sistemi üzerine kurulmuş, web tabanlı bir kod barındırma ve işbirliği platformudur. Geliştiricilerin projelerini depolamalarına, kod değişikliklerini takip etmelerine ve dünya genelindeki diğer geliştiricilerle birlikte çalışmalarına olanak tanır. Açık kaynak projelerin merkezi konumundadır ve proje yönetimi, kod incelemesi gibi birçok özelliği sunar. Bu sayede, yazılım geliştirme süreçlerini optimize ederek ekiplerin daha verimli çalışmasını sağlar."
"github üzerinde pull request (pr) nedir?","pull request, bir projede yapılan değişiklikleri incelemek ve ana dala dahil edilmesini istemek için kullanılan git hub özelliğidir."
"merge işlemi ne yapar?","merge, bir branch'teki değişiklikleri başka bir branch'e entegre eder."
"versiyon kontrol sistemine neden ihtiyaç duyarız?","kod değişikliklerini takip etmek, ekip içi iş birliğini sağlamak, veri kaybını önlemek ve eski sürümlere dönmek gibi ihtiyaçlar nedeniyle versiyon kontrol sistemlerine ihtiyaç duyulur."
